algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
tabu_search,planar_161_5,161,295,3,,26.156,ok
tabu_search,planar_261_2,261,430,3,,47.543,ok
tabu_search,planar_309_4,309,492,4,,0.435,ok
tabu_search,planar_329_1,329,515,3,,68.769,ok
tabu_search,planar_420_3,420,652,3,,111.225,ok
tabu_search,tree_238_1,238,237,3,,16.099,ok
tabu_search,tree_275_4,275,274,3,,17.830,ok
tabu_search,tree_505_2,505,504,3,,58.988,ok
tabu_search,tree_862_3,862,861,3,,179.266,ok
tabu_search,tree_958_5,958,957,3,,208.843,ok
tabu_search,watts_strogatz_155_1,155,1085,7,,36.075,ok
tabu_search,watts_strogatz_229_2,229,2519,9,,163.462,ok
tabu_search,watts_strogatz_363_7,363,6534,13,,580.230,ok
tabu_search,watts_strogatz_427_5,427,8967,14,,1249.658,ok
tabu_search,watts_strogatz_527_3,527,13702,17,,1743.748,ok
tabu_search,watts_strogatz_551_6,551,14877,18,,1967.078,ok
tabu_search,watts_strogatz_689_9,689,23426,27,,3852.143,ok
tabu_search,watts_strogatz_711_4,711,24885,20,,5737.817,ok
tabu_search,watts_strogatz_987_8,987,48363,34,,17270.154,ok
tabu_search,watts_strogatz_989_10,989,48461,27,,14689.717,ok
genetic,barabasi_albert_111_3,111,530,5,,137.562,ok
genetic,barabasi_albert_1193_7,1193,5940,6,,1490.196,ok
genetic,barabasi_albert_1262_5,1262,6285,6,,1509.901,ok
genetic,barabasi_albert_1284_4,1284,6395,6,,1571.504,ok
genetic,barabasi_albert_1776_10,1776,8855,6,,2318.288,ok
genetic,barabasi_albert_324_9,324,1595,6,,359.178,ok
genetic,barabasi_albert_382_2,382,1885,6,,382.229,ok
genetic,barabasi_albert_769_6,769,3820,6,,865.053,ok
genetic,barabasi_albert_783_8,783,3890,6,,889.550,ok
genetic,barabasi_albert_933_1,933,4640,6,,1002.696,ok
genetic,bipartite_278_2,278,2295,3,,502.000,ok
genetic,bipartite_704_1,704,30226,9,,3817.552,ok
genetic,bipartite_77_5,77,363,2,,78.584,ok
genetic,bipartite_80_4,80,222,2,,67.812,ok
genetic,bipartite_963_3,963,50450,2,,9996.446,ok
genetic,complete_10_1,10,45,10,,10.619,ok
genetic,complete_28_3,28,378,28,,42.534,ok
genetic,complete_33_2,33,528,33,,50.969,ok
genetic,complete_35_4,35,595,35,,58.596,ok
genetic,complete_47_5,47,1081,47,,92.334,ok
genetic,erdos_renyi_1283_9,1283,76751,35,,20213.733,ok
genetic,erdos_renyi_1356_5,1356,110455,45,,26078.722,ok
genetic,erdos_renyi_1754_2,1754,286515,79,,82520.150,ok
genetic,erdos_renyi_1800_10,1800,110682,36,,27485.412,ok
genetic,erdos_renyi_1808_3,1808,170826,51,,43402.866,ok
genetic,erdos_renyi_437_8,437,8504,15,,922.157,ok
genetic,erdos_renyi_632_6,632,25733,26,,3002.083,ok
genetic,erdos_renyi_701_7,701,34130,30,,3778.669,ok
genetic,erdos_renyi_743_4,743,52439,41,,10735.639,ok
genetic,erdos_renyi_747_1,747,53227,41,,11241.858,ok
genetic,grid_1225_5,1225,2380,4,,1028.773,ok
genetic,grid_2070_3,2070,4049,4,,1710.357,ok
genetic,grid_360_1,360,682,3,,291.328,ok
genetic,grid_676_2,676,1300,4,,531.155,ok
genetic,grid_841_4,841,1624,4,,669.390,ok
genetic,planar_161_5,161,295,4,,126.776,ok
genetic,planar_261_2,261,430,3,,244.938,ok
genetic,planar_309_4,309,492,4,,224.950,ok
genetic,planar_329_1,329,515,3,,289.491,ok
genetic,planar_420_3,420,652,3,,398.390,ok
genetic,tree_238_1,238,237,3,,172.809,ok
genetic,tree_275_4,275,274,3,,199.377,ok
genetic,tree_505_2,505,504,3,,378.208,ok
genetic,tree_862_3,862,861,3,,674.410,ok
genetic,tree_958_5,958,957,3,,745.961,ok
genetic,watts_strogatz_155_1,155,1085,8,,176.028,ok
genetic,watts_strogatz_229_2,229,2519,11,,344.081,ok
genetic,watts_strogatz_363_7,363,6534,17,,718.364,ok
genetic,watts_strogatz_427_5,427,8967,20,,932.854,ok
genetic,watts_strogatz_527_3,527,13702,23,,1487.884,ok
genetic,watts_strogatz_551_6,551,14877,22,,2277.201,ok
genetic,watts_strogatz_689_9,689,23426,34,,2709.091,ok
genetic,watts_strogatz_711_4,711,24885,28,,2737.297,ok
genetic,watts_strogatz_987_8,987,48363,43,,12423.401,ok
genetic,watts_strogatz_989_10,989,48461,38,,9769.776,ok
tabu_search,erdos_renyi_1754_2,1754,286515,,,,timeout>retry
