algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
genetic,DSJR500.1c,500,121275,109,85,76355.535,ok
welsh_powell,DSJR500.5,500,58862,133,122,1.420,ok
dsatur,DSJR500.5,500,58862,132,122,11.489,ok
simulated_annealing,DSJR500.5,500,58862,139,122,64.980,ok
genetic,DSJR500.5,500,58862,129,122,11533.167,ok
welsh_powell,anna,138,493,11,11,0.011,ok
dsatur,anna,138,493,11,11,0.114,ok
simulated_annealing,anna,138,493,11,11,0.573,ok
genetic,anna,138,493,11,11,91.447,ok
welsh_powell,david,87,406,11,11,0.008,ok
dsatur,david,87,406,11,11,0.095,ok
simulated_annealing,david,87,406,11,11,0.678,ok
genetic,david,87,406,11,11,68.623,ok
welsh_powell,flat1000_50_0,1000,245000,121,50,3.133,ok
dsatur,flat1000_50_0,1000,245000,113,50,43.687,ok
simulated_annealing,flat1000_50_0,1000,245000,144,50,523.806,ok
genetic,flat1000_50_0,1000,245000,124,50,129858.913,ok
welsh_powell,flat1000_60_0,1000,245830,124,60,3.404,ok
dsatur,flat1000_60_0,1000,245830,112,60,41.027,ok
simulated_annealing,flat1000_60_0,1000,245830,143,60,529.908,ok
genetic,flat1000_60_0,1000,245830,125,60,87518.640,ok
welsh_powell,flat1000_76_0,1000,246708,123,76,3.430,ok
dsatur,flat1000_76_0,1000,246708,115,76,43.245,ok
simulated_annealing,flat1000_76_0,1000,246708,138,76,541.283,ok
genetic,flat1000_76_0,1000,246708,125,76,86410.680,ok
welsh_powell,flat300_20_0,300,21375,44,20,0.170,ok
dsatur,flat300_20_0,300,21375,42,20,3.246,ok
simulated_annealing,flat300_20_0,300,21375,53,20,8.516,ok
genetic,flat300_20_0,300,21375,41,20,5598.651,ok
welsh_powell,flat300_26_0,300,21633,46,26,0.181,ok
dsatur,flat300_26_0,300,21633,42,26,3.307,ok
simulated_annealing,flat300_26_0,300,21633,52,26,10.769,ok
genetic,flat300_26_0,300,21633,43,26,5301.336,ok
welsh_powell,flat300_28_0,300,21695,46,28,0.176,ok
dsatur,flat300_28_0,300,21695,41,28,3.311,ok
simulated_annealing,flat300_28_0,300,21695,52,28,8.933,ok
genetic,flat300_28_0,300,21695,43,28,4798.146,ok
welsh_powell,fpsol2.i.1,496,11654,65,65,0.215,ok
dsatur,fpsol2.i.1,496,11654,65,65,1.956,ok
simulated_annealing,fpsol2.i.1,496,11654,66,65,9.083,ok
genetic,fpsol2.i.1,496,11654,65,65,1437.358,ok
welsh_powell,fpsol2.i.2,451,8691,30,30,0.100,ok
dsatur,fpsol2.i.2,451,8691,30,30,1.436,ok
simulated_annealing,fpsol2.i.2,451,8691,31,30,10.503,ok
genetic,fpsol2.i.2,451,8691,30,30,1274.789,ok
welsh_powell,fpsol2.i.3,425,8688,30,30,0.097,ok
dsatur,fpsol2.i.3,425,8688,30,30,1.370,ok
simulated_annealing,fpsol2.i.3,425,8688,32,30,8.613,ok
genetic,fpsol2.i.3,425,8688,30,30,1256.564,ok
welsh_powell,games120,120,638,9,9,0.012,ok
dsatur,games120,120,638,9,9,0.130,ok
simulated_annealing,games120,120,638,9,9,0.378,ok
genetic,games120,120,638,9,9,84.532,ok
welsh_powell,homer,561,1628,13,13,0.032,ok
dsatur,homer,561,1628,13,13,0.434,ok
simulated_annealing,homer,561,1628,13,13,2.296,ok
genetic,homer,561,1628,13,13,385.204,ok
welsh_powell,huck,74,301,11,11,0.008,ok
dsatur,huck,74,301,11,11,0.065,ok
simulated_annealing,huck,74,301,11,11,0.288,ok
genetic,huck,74,301,11,11,49.487,ok
welsh_powell,inithx.i.1,864,18707,54,54,0.287,ok
dsatur,inithx.i.1,864,18707,54,54,3.877,ok
simulated_annealing,inithx.i.1,864,18707,57,54,28.262,ok
genetic,inithx.i.1,864,18707,54,54,3155.623,ok
welsh_powell,inithx.i.2,645,13979,31,31,0.155,ok
dsatur,inithx.i.2,645,13979,31,31,2.337,ok
simulated_annealing,inithx.i.2,645,13979,31,31,20.483,ok
genetic,inithx.i.2,645,13979,31,31,2344.539,ok
welsh_powell,inithx.i.3,621,13969,31,31,0.164,ok
dsatur,inithx.i.3,621,13969,31,31,2.238,ok
simulated_annealing,inithx.i.3,621,13969,31,31,21.173,ok
genetic,inithx.i.3,621,13969,31,31,2353.751,ok
welsh_powell,jean,80,254,10,10,0.007,ok
dsatur,jean,80,254,10,10,0.058,ok
simulated_annealing,jean,80,254,10,10,0.494,ok
genetic,jean,80,254,10,10,44.695,ok
welsh_powell,latin_square_10,900,307350,155,,5.268,ok
dsatur,latin_square_10,900,307350,129,,44.481,ok
simulated_annealing,latin_square_10,900,307350,190,,343.783,ok
genetic,latin_square_10,900,307350,155,,52203.240,ok
welsh_powell,le450_15a,450,8168,18,15,0.093,ok
dsatur,le450_15a,450,8168,17,15,1.535,ok
simulated_annealing,le450_15a,450,8168,20,15,4.204,ok
genetic,le450_15a,450,8168,17,15,1156.580,ok
welsh_powell,le450_15b,450,8169,17,15,0.093,ok
dsatur,le450_15b,450,8169,17,15,1.816,ok
simulated_annealing,le450_15b,450,8169,22,15,4.722,ok
genetic,le450_15b,450,8169,17,15,919.505,ok
welsh_powell,le450_15c,450,16680,27,15,0.339,ok
dsatur,le450_15c,450,16680,24,15,2.682,ok
simulated_annealing,le450_15c,450,16680,28,15,9.414,ok
genetic,le450_15c,450,16680,25,15,1810.351,ok
welsh_powell,le450_15d,450,16750,27,15,0.146,ok
dsatur,le450_15d,450,16750,24,15,2.866,ok
simulated_annealing,le450_15d,450,16750,29,15,10.290,ok
genetic,le450_15d,450,16750,25,15,2254.677,ok
welsh_powell,le450_25a,450,8260,26,25,0.111,ok
dsatur,le450_25a,450,8260,25,25,1.639,ok
simulated_annealing,le450_25a,450,8260,26,25,4.687,ok
genetic,le450_25a,450,8260,25,25,1037.898,ok
