algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms
dsatur,myciel6,95,755,7,,0.270
dsatur,myciel6,95,755,7,,0.462
dsatur,myciel6,95,755,7,,0.467
dsatur,queen8_8,64,728,13,,0.308
welsh_powell,queen8_8,64,728,13,,0.192
genetic,queen8_8,64,728,10,,102.709
simulated_annealing,queen8_8,64,728,12,,3.065
exact_solver,queen8_8,64,728,9,,9553.425
tabu_search,queen8_8,64,728,10,,15.312
dsatur,queen6_6,36,290,9,,0.161
genetic,queen6_6,36,290,7,,48.239
simulated_annealing,queen6_6,36,290,8,,0.864
exact_solver,queen6_6,36,290,7,,3.360
tabu_search,queen6_6,36,290,7,,11.625
tabu_search,myciel3,11,20,4,,1.634
