algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
dsatur,miles500,128,1170,20,,0.226,ok
dsatur,miles750,128,2113,31,,0.374,ok
dsatur,mulsol.i.1,197,3925,49,,0.676,ok
dsatur,mulsol.i.2,188,3885,31,,0.665,ok
dsatur,mulsol.i.3,184,3916,31,,0.634,ok
dsatur,mulsol.i.4,185,3946,31,,0.658,ok
dsatur,mulsol.i.5,186,3973,31,,0.674,ok
dsatur,myciel3,11,20,4,,0.008,ok
dsatur,myciel4,23,71,5,,0.019,ok
dsatur,myciel5,47,236,6,,0.060,ok
dsatur,myciel6,95,755,7,,0.148,ok
dsatur,myciel7,191,2360,8,,0.391,ok
dsatur,queen10_10,100,1470,14,,0.267,ok
dsatur,queen11_11,121,1980,14,,0.355,ok
dsatur,queen12_12,144,2596,16,,0.465,ok
dsatur,queen13_13,169,3328,17,,0.585,ok
dsatur,queen14_14,196,4186,19,,0.766,ok
dsatur,queen15_15,225,5180,20,,0.952,ok
dsatur,queen16_16,256,6320,21,,1.244,ok
dsatur,queen5_5,25,160,5,,0.035,ok
dsatur,queen6_6,36,290,9,,0.058,ok
dsatur,queen7_7,49,476,10,,0.097,ok
dsatur,queen8_12,96,1368,14,,0.272,ok
dsatur,queen8_8,64,728,13,,0.143,ok
dsatur,queen9_9,81,1056,12,,0.195,ok
dsatur,school1,385,19095,20,,3.533,ok
dsatur,school1_nsh,352,14612,26,,2.411,ok
dsatur,zeroin.i.1,211,4100,49,,0.667,ok
dsatur,zeroin.i.2,211,3541,30,,0.565,ok
dsatur,zeroin.i.3,206,3540,30,,0.569,ok
welsh_powell,DSJC1000.1,1000,49629,30,,0.432,ok
welsh_powell,DSJC1000.5,1000,249826,124,,4.867,ok
welsh_powell,DSJC1000.9,1000,449449,310,,16.420,ok
welsh_powell,DSJC125.1,125,736,7,,0.010,ok
welsh_powell,DSJC125.5,125,3891,23,,0.030,ok
welsh_powell,DSJC125.9,125,6961,52,,0.096,ok
welsh_powell,DSJC250.1,250,3218,12,,0.030,ok
welsh_powell,DSJC250.5,250,15668,40,,0.133,ok
welsh_powell,DSJC250.9,250,27897,91,,0.453,ok
welsh_powell,DSJC500.1,500,12458,18,,0.095,ok
welsh_powell,DSJC500.5,500,62624,69,,0.631,ok
welsh_powell,DSJC500.9,500,112437,168,,2.537,ok
welsh_powell,DSJR500.1,500,3555,13,,0.055,ok
welsh_powell,DSJR500.1c,500,121275,99,,1.297,ok
welsh_powell,DSJR500.5,500,58862,133,,1.539,ok
welsh_powell,anna,138,493,11,,0.011,ok
welsh_powell,david,87,406,11,,0.008,ok
welsh_powell,flat1000_50_0,1000,245000,121,,3.671,ok
welsh_powell,flat1000_60_0,1000,245830,124,,3.524,ok
welsh_powell,flat1000_76_0,1000,246708,123,,3.808,ok
welsh_powell,flat300_20_0,300,21375,44,,0.181,ok
welsh_powell,flat300_26_0,300,21633,46,,0.190,ok
welsh_powell,flat300_28_0,300,21695,46,,0.190,ok
welsh_powell,fpsol2.i.1,496,11654,65,,0.215,ok
welsh_powell,fpsol2.i.2,451,8691,30,,0.099,ok
welsh_powell,fpsol2.i.3,425,8688,30,,0.098,ok
welsh_powell,games120,120,638,9,,0.010,ok
welsh_powell,homer,561,1628,13,,0.031,ok
welsh_powell,huck,74,301,11,,0.006,ok
welsh_powell,inithx.i.1,864,18707,54,,0.285,ok
welsh_powell,inithx.i.2,645,13979,31,,0.171,ok
welsh_powell,inithx.i.3,621,13969,31,,0.169,ok
welsh_powell,jean,80,254,10,,0.006,ok
welsh_powell,latin_square_10,900,307350,155,,6.310,ok
welsh_powell,le450_15a,450,8168,18,,0.090,ok
welsh_powell,le450_15b,450,8169,17,,0.094,ok
welsh_powell,le450_15c,450,16680,27,,0.143,ok
welsh_powell,le450_15d,450,16750,27,,0.146,ok
welsh_powell,le450_25a,450,8260,26,,0.109,ok
welsh_powell,le450_25b,450,8263,26,,0.114,ok
welsh_powell,le450_25c,450,17343,31,,0.186,ok
welsh_powell,le450_25d,450,17425,30,,0.179,ok
welsh_powell,le450_5a,450,5714,12,,0.058,ok
welsh_powell,le450_5b,450,5734,11,,0.057,ok
welsh_powell,le450_5c,450,9803,13,,0.061,ok
welsh_powell,le450_5d,450,9757,13,,0.065,ok
welsh_powell,miles1000,128,3216,43,,0.047,ok
welsh_powell,miles1500,128,5198,73,,0.108,ok
welsh_powell,miles250,128,387,8,,0.010,ok
welsh_powell,miles500,128,1170,20,,0.017,ok
